"2018/03/29","266.1300","15014440.0000","256.4900","270.9599","248.2100"
"2018/03/28","257.7800","20962280.0000","264.5800","268.6800","252.1000"
"2018/03/27","279.1800","13787060.0000","304.0000","304.2700","277.1800"
"2018/03/26","304.1800","8364937.0000","307.3400","307.5900","291.3600"
"2018/03/23","301.5400","6639960.0000","311.2500","311.6100","300.4500"
"2018/03/22","309.1000","4924928.0000","313.8900","318.8200","308.1800"
"2018/03/21","316.5300","5954247.0000","310.2500","322.4400","310.1900"
"2018/03/20","310.5500","4761031.0000","314.8700","316.2500","308.7600"
"2018/03/19","313.5600","7467890.0000","316.5000","320.7500","309.6700"
"2018/03/16","321.3500","6113365.0000","325.9600","327.4000","319.0700"
"2018/03/15","325.6000","6554568.0000","329.3800","332.8500","321.1000"
"2018/03/14","326.6300","7952152.0000","336.7600","339.8100","323.9300"
"2018/03/13","341.8400","5960636.0000","344.9200","345.1200","336.2635"
"2018/03/12","345.5100","8252919.0000","328.6100","347.2100","326.5000"
"2018/03/09","327.1700","5502779.0000","324.1000","328.4900","322.3700"
"2018/03/08","329.1000","3514367.0000","332.8600","333.3000","326.2740"
"2018/03/07","332.3000","5001940.0000","325.4400","332.5000","321.7400"
"2018/03/06","328.2000","4236483.0000","333.7500","336.3700","327.0300"
"2018/03/05","333.3500","3820702.0000","332.3900","337.7500","329.2929"
"2018/03/02","335.1200","5088789.0000","326.9800","335.2200","322.9700"
"2018/03/01","330.9300","6872552.0000","345.0100","348.6700","330.0700"
